[INFO ] 2015-04-07 22:16:14,035 -- Training: ...sk/hou/workspace/mldata/ratings.csv, kFold: 5 [Parallel]
[DEBUG] 2015-04-07 22:16:18,035 -- Dataset: {Users, Items, Ratings} = {706, 8552, 100023}, Scale = {0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0}
[DEBUG] 2015-04-07 22:16:18,849 -- Fold [1]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:19,397 -- Fold [2]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:19,515 -- Fold [3]: training amount: 80019, test amount: 20004
[DEBUG] 2015-04-07 22:16:19,899 -- Fold [4]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:20,141 -- Fold [5]: training amount: 80019, test amount: 20004
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,347 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,357 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:43,306 -- SVD++ fold [5] iter 1: errs = 38378.965, delta_errs = -38378.965, loss = 75917.47, delta_loss = -75917.47, learn_rate = 0.01
[DEBUG] 2015-04-07 22:17:39,348 -- SVD++ fold [5] iter 4: errs = 32806.383, delta_errs = 775.0045, loss = 34452.36, delta_loss = 1243.877, learn_rate = 0.011024999
[DEBUG] 2015-04-07 22:17:39,517 -- SVD++ fold [2] iter 4: errs = 32818.36, delta_errs = 805.9595, loss = 34488.348, delta_loss = 1287.251, learn_rate = 0.011024999
[DEBUG] 2015-04-07 22:17:40,504 -- SVD++ fold [1] iter 4: errs = 32857.57, delta_errs = 806.0592, loss = 34517.75, delta_loss = 1276.9827, learn_rate = 0.011024999
[DEBUG] 2015-04-07 22:17:41,762 -- SVD++ fold [3] iter 4: errs = 32833.543, delta_errs = 804.04865, loss = 34496.25, delta_loss = 1276.2345, learn_rate = 0.011024999
[DEBUG] 2015-04-07 22:17:58,007 -- SVD++ fold [5] iter 5: errs = 32264.607, delta_errs = 541.7765, loss = 33639.008, delta_loss = 813.34937, learn_rate = 0.01157625
[DEBUG] 2015-04-07 22:17:58,515 -- SVD++ fold [2] iter 5: errs = 32255.934, delta_errs = 562.42664, loss = 33648.316, delta_loss = 840.0342, learn_rate = 0.01157625
[DEBUG] 2015-04-07 22:17:59,717 -- SVD++ fold [3] iter 5: errs = 32271.13, delta_errs = 562.41034, loss = 33659.64, delta_loss = 836.60956, learn_rate = 0.01157625
[DEBUG] 2015-04-07 22:17:59,848 -- SVD++ fold [4] iter 5: errs = 32280.355, delta_errs = 551.1641, loss = 33674.37, delta_loss = 828.2953, learn_rate = 0.01157625
[DEBUG] 2015-04-07 22:18:00,153 -- SVD++ fold [1] iter 5: errs = 32294.572, delta_errs = 562.99896, loss = 33681.387, delta_loss = 836.36365, learn_rate = 0.01157625
[DEBUG] 2015-04-07 22:18:16,939 -- SVD++ fold [5] iter 6: errs = 31854.334, delta_errs = 410.27448, loss = 33046.773, delta_loss = 592.2351, learn_rate = 0.0121550625
[DEBUG] 2015-04-07 22:18:17,578 -- SVD++ fold [3] iter 6: errs = 31845.227, delta_errs = 425.90475, loss = 33049.594, delta_loss = 610.0447, learn_rate = 0.0121550625
[DEBUG] 2015-04-07 22:18:17,679 -- SVD++ fold [2] iter 6: errs = 31830.996, delta_errs = 424.93683, loss = 33037.96, delta_loss = 610.3525, learn_rate = 0.0121550625
[DEBUG] 2015-04-07 22:18:20,708 -- SVD++ fold [1] iter 6: errs = 31869.037, delta_errs = 425.53583, loss = 33072.49, delta_loss = 608.8955, learn_rate = 0.0121550625
[DEBUG] 2015-04-07 22:18:21,427 -- SVD++ fold [4] iter 6: errs = 31862.719, delta_errs = 417.63736, loss = 33071.348, delta_loss = 603.02264, learn_rate = 0.0121550625
[DEBUG] 2015-04-07 22:18:34,787 -- SVD++ fold [5] iter 7: errs = 31527.857, delta_errs = 326.47574, loss = 32587.764, delta_loss = 459.01163, learn_rate = 0.012762816
[DEBUG] 2015-04-07 22:18:35,840 -- SVD++ fold [3] iter 7: errs = 31506.342, delta_errs = 338.88434, loss = 32576.34, delta_loss = 473.25415, learn_rate = 0.012762816
[DEBUG] 2015-04-07 22:18:39,994 -- SVD++ fold [4] iter 7: errs = 31530.031, delta_errs = 332.68668, loss = 32603.543, delta_loss = 467.80527, learn_rate = 0.012762816
[DEBUG] 2015-04-07 22:18:40,680 -- SVD++ fold [2] iter 7: errs = 31493.537, delta_errs = 337.45996, loss = 32565.545, delta_loss = 472.41656, learn_rate = 0.012762816
[DEBUG] 2015-04-07 22:18:41,521 -- SVD++ fold [1] iter 7: errs = 31531.023, delta_errs = 338.01257, loss = 32600.82, delta_loss = 471.6686, learn_rate = 0.012762816
[DEBUG] 2015-04-07 22:18:52,826 -- SVD++ fold [5] iter 8: errs = 31259.28, delta_errs = 268.57922, loss = 32217.406, delta_loss = 370.35617, learn_rate = 0.013400956
[DEBUG] 2015-04-07 22:18:55,497 -- SVD++ fold [3] iter 8: errs = 31227.537, delta_errs = 278.8041, loss = 32194.225, delta_loss = 382.1151, learn_rate = 0.013400956
[DEBUG] 2015-04-07 22:19:00,566 -- SVD++ fold [1] iter 8: errs = 31253.307, delta_errs = 277.71698, loss = 32220.416, delta_loss = 380.40524, learn_rate = 0.013400956
[DEBUG] 2015-04-07 22:19:01,380 -- SVD++ fold [2] iter 8: errs = 31216.318, delta_errs = 277.21774, loss = 32184.578, delta_loss = 380.96686, learn_rate = 0.013400956
[DEBUG] 2015-04-07 22:19:02,652 -- SVD++ fold [4] iter 8: errs = 31256.023, delta_errs = 274.00833, loss = 32225.627, delta_loss = 377.91534, learn_rate = 0.013400956
[DEBUG] 2015-04-07 22:19:12,330 -- SVD++ fold [5] iter 9: errs = 31033.072, delta_errs = 226.20619, loss = 31910.209, delta_loss = 307.19794, learn_rate = 0.0140710035
[DEBUG] 2015-04-07 22:19:15,858 -- SVD++ fold [3] iter 9: errs = 30992.656, delta_errs = 234.88132, loss = 31877.102, delta_loss = 317.12296, learn_rate = 0.0140710035
[DEBUG] 2015-04-07 22:19:18,998 -- SVD++ fold [1] iter 9: errs = 31019.553, delta_errs = 233.75334, loss = 31904.955, delta_loss = 315.46082, learn_rate = 0.0140710035
[DEBUG] 2015-04-07 22:19:19,810 -- SVD++ fold [2] iter 9: errs = 30983.02, delta_errs = 233.2993, loss = 31868.572, delta_loss = 316.0058, learn_rate = 0.0140710035
[DEBUG] 2015-04-07 22:19:22,048 -- SVD++ fold [4] iter 9: errs = 31024.967, delta_errs = 231.05556, loss = 31911.79, delta_loss = 313.83823, learn_rate = 0.0140710035
[DEBUG] 2015-04-07 22:19:29,865 -- SVD++ fold [5] iter 10: errs = 30839.244, delta_errs = 193.82738, loss = 31650.283, delta_loss = 259.92535, learn_rate = 0.014774554
[DEBUG] 2015-04-07 22:19:34,461 -- SVD++ fold [3] iter 10: errs = 30791.303, delta_errs = 201.35373, loss = 31608.67, delta_loss = 268.43283, learn_rate = 0.014774554
[DEBUG] 2015-04-07 22:19:39,055 -- SVD++ fold [2] iter 10: errs = 30783.143, delta_errs = 199.8758, loss = 31601.09, delta_loss = 267.4834, learn_rate = 0.014774554
[DEBUG] 2015-04-07 22:19:39,467 -- SVD++ fold [1] iter 10: errs = 30819.254, delta_errs = 200.29898, loss = 31638.043, delta_loss = 266.91193, learn_rate = 0.014774554
[DEBUG] 2015-04-07 22:19:41,675 -- SVD++ fold [4] iter 10: errs = 30826.729, delta_errs = 198.238, loss = 31645.96, delta_loss = 265.8287, learn_rate = 0.014774554
[DEBUG] 2015-04-07 22:19:49,831 -- SVD++ fold [5] iter 11: errs = 30671.002, delta_errs = 168.244, loss = 31427.096, delta_loss = 223.18695, learn_rate = 0.015513282
[DEBUG] 2015-04-07 22:19:51,221 -- SVD++ fold [3] iter 11: errs = 30616.42, delta_errs = 174.88283, loss = 31378.104, delta_loss = 230.56558, learn_rate = 0.015513282
[DEBUG] 2015-04-07 22:19:57,479 -- SVD++ fold [1] iter 11: errs = 30645.271, delta_errs = 173.98276, loss = 31408.807, delta_loss = 229.2375, learn_rate = 0.015513282
[DEBUG] 2015-04-07 22:20:00,499 -- SVD++ fold [2] iter 11: errs = 30609.572, delta_errs = 173.5713, loss = 31371.252, delta_loss = 229.83679, learn_rate = 0.015513282
[DEBUG] 2015-04-07 22:20:03,155 -- SVD++ fold [4] iter 11: errs = 30654.404, delta_errs = 172.32578, loss = 31417.465, delta_loss = 228.49463, learn_rate = 0.015513282
[DEBUG] 2015-04-07 22:20:10,852 -- SVD++ fold [3] iter 12: errs = 30463.01, delta_errs = 153.41084, loss = 31177.87, delta_loss = 200.23361, learn_rate = 0.016288945
[DEBUG] 2015-04-07 22:20:11,710 -- SVD++ fold [5] iter 12: errs = 30523.516, delta_errs = 147.48598, loss = 31233.326, delta_loss = 193.77061, learn_rate = 0.016288945
[DEBUG] 2015-04-07 22:20:16,935 -- SVD++ fold [1] iter 12: errs = 30492.545, delta_errs = 152.72746, loss = 31209.68, delta_loss = 199.12564, learn_rate = 0.016288945
[DEBUG] 2015-04-07 22:20:19,696 -- SVD++ fold [2] iter 12: errs = 30457.27, delta_errs = 152.30325, loss = 31171.51, delta_loss = 199.74268, learn_rate = 0.016288945
[DEBUG] 2015-04-07 22:20:23,795 -- SVD++ fold [4] iter 12: errs = 30503.08, delta_errs = 151.32394, loss = 31218.861, delta_loss = 198.60516, learn_rate = 0.016288945
[DEBUG] 2015-04-07 22:20:30,782 -- SVD++ fold [5] iter 13: errs = 30393.234, delta_errs = 130.27989, loss = 31063.691, delta_loss = 169.6346, learn_rate = 0.017103393
[DEBUG] 2015-04-07 22:20:31,418 -- SVD++ fold [3] iter 13: errs = 30327.402, delta_errs = 135.60635, loss = 31002.525, delta_loss = 175.34491, learn_rate = 0.017103393
[DEBUG] 2015-04-07 22:20:34,629 -- SVD++ fold [1] iter 13: errs = 30357.355, delta_errs = 135.1897, loss = 31035.21, delta_loss = 174.469, learn_rate = 0.017103393
[DEBUG] 2015-04-07 22:20:39,244 -- SVD++ fold [2] iter 13: errs = 30322.547, delta_errs = 134.72151, loss = 30996.418, delta_loss = 175.09158, learn_rate = 0.017103393
[DEBUG] 2015-04-07 22:20:40,025 -- SVD++ fold [4] iter 13: errs = 30369.145, delta_errs = 133.93535, loss = 31044.76, delta_loss = 174.10101, learn_rate = 0.017103393
[DEBUG] 2015-04-07 22:20:49,391 -- SVD++ fold [5] iter 14: errs = 30277.463, delta_errs = 115.77161, loss = 30914.27, delta_loss = 149.42188, learn_rate = 0.017958563
[DEBUG] 2015-04-07 22:20:51,759 -- SVD++ fold [1] iter 14: errs = 30236.887, delta_errs = 120.46843, loss = 30881.348, delta_loss = 153.86388, learn_rate = 0.017958563
[DEBUG] 2015-04-07 22:20:52,406 -- SVD++ fold [3] iter 14: errs = 30206.828, delta_errs = 120.57413, loss = 30848.02, delta_loss = 154.50502, learn_rate = 0.017958563
[DEBUG] 2015-04-07 22:20:58,611 -- SVD++ fold [2] iter 14: errs = 30202.63, delta_errs = 119.91686, loss = 30841.94, delta_loss = 154.47902, learn_rate = 0.017958563
[DEBUG] 2015-04-07 22:20:59,765 -- SVD++ fold [4] iter 14: errs = 30249.861, delta_errs = 119.28325, loss = 30891.154, delta_loss = 153.60515, learn_rate = 0.017958563
[DEBUG] 2015-04-07 22:21:07,035 -- SVD++ fold [5] iter 15: errs = 30174.092, delta_errs = 103.372314, loss = 30782.072, delta_loss = 132.19785, learn_rate = 0.018856492
[DEBUG] 2015-04-07 22:21:11,778 -- SVD++ fold [1] iter 15: errs = 30128.943, delta_errs = 107.94372, loss = 30745.006, delta_loss = 136.34157, learn_rate = 0.018856492
[DEBUG] 2015-04-07 22:21:12,171 -- SVD++ fold [3] iter 15: errs = 30099.135, delta_errs = 107.69381, loss = 30711.271, delta_loss = 136.74928, learn_rate = 0.018856492
[DEBUG] 2015-04-07 22:21:15,412 -- SVD++ fold [2] iter 15: errs = 30095.371, delta_errs = 107.26014, loss = 30705.006, delta_loss = 136.9343, learn_rate = 0.018856492
[DEBUG] 2015-04-07 22:21:16,734 -- SVD++ fold [4] iter 15: errs = 30143.102, delta_errs = 106.7585, loss = 30754.992, delta_loss = 136.16183, learn_rate = 0.018856492
[DEBUG] 2015-04-07 22:21:23,913 -- SVD++ fold [5] iter 16: errs = 30081.422, delta_errs = 92.66901, loss = 30664.771, delta_loss = 117.299995, learn_rate = 0.019799316
[DEBUG] 2015-04-07 22:21:30,191 -- SVD++ fold [1] iter 16: errs = 30031.76, delta_errs = 97.18199, loss = 30623.791, delta_loss = 121.21481, learn_rate = 0.019799316
[DEBUG] 2015-04-07 22:21:30,909 -- SVD++ fold [3] iter 16: errs = 30002.61, delta_errs = 96.52571, loss = 30589.88, delta_loss = 121.38969, learn_rate = 0.019799316
[DEBUG] 2015-04-07 22:21:31,443 -- SVD++ fold [2] iter 16: errs = 29999.062, delta_errs = 96.30876, loss = 30583.238, delta_loss = 121.76687, learn_rate = 0.019799316
[DEBUG] 2015-04-07 22:21:35,397 -- SVD++ fold [4] iter 16: errs = 30047.172, delta_errs = 95.93065, loss = 30633.904, delta_loss = 121.08837, learn_rate = 0.019799316
[DEBUG] 2015-04-07 22:21:42,996 -- SVD++ fold [5] iter 17: errs = 29998.053, delta_errs = 83.37023, loss = 30560.523, delta_loss = 104.247574, learn_rate = 0.02078928
[DEBUG] 2015-04-07 22:21:48,542 -- SVD++ fold [2] iter 17: errs = 29912.312, delta_errs = 86.74999, loss = 30474.764, delta_loss = 108.47465, learn_rate = 0.02078928
[DEBUG] 2015-04-07 22:21:48,834 -- SVD++ fold [1] iter 17: errs = 29943.883, delta_errs = 87.87746, loss = 30515.807, delta_loss = 107.98519, learn_rate = 0.02078928
[DEBUG] 2015-04-07 22:21:50,196 -- SVD++ fold [3] iter 17: errs = 29915.855, delta_errs = 86.75325, loss = 30481.957, delta_loss = 107.923225, learn_rate = 0.02078928
[DEBUG] 2015-04-07 22:21:55,026 -- SVD++ fold [4] iter 17: errs = 29960.678, delta_errs = 86.49399, loss = 30526.018, delta_loss = 107.88611, learn_rate = 0.02078928
[DEBUG] 2015-04-07 22:21:59,814 -- SVD++ fold [5] iter 18: errs = 29922.78, delta_errs = 75.27216, loss = 30467.838, delta_loss = 92.68526, learn_rate = 0.021828745
[DEBUG] 2015-04-07 22:22:05,054 -- SVD++ fold [2] iter 18: errs = 29833.947, delta_errs = 78.36515, loss = 30378.078, delta_loss = 96.68664, learn_rate = 0.021828745
[DEBUG] 2015-04-07 22:22:08,333 -- SVD++ fold [1] iter 18: errs = 29864.07, delta_errs = 79.813255, loss = 30419.521, delta_loss = 96.28438, learn_rate = 0.021828745
[DEBUG] 2015-04-07 22:22:08,566 -- SVD++ fold [3] iter 18: errs = 29837.709, delta_errs = 78.14653, loss = 30385.982, delta_loss = 95.974365, learn_rate = 0.021828745
[DEBUG] 2015-04-07 22:22:12,910 -- SVD++ fold [4] iter 18: errs = 29882.443, delta_errs = 78.233734, loss = 30429.832, delta_loss = 96.18491, learn_rate = 0.021828745
[DEBUG] 2015-04-07 22:22:19,612 -- SVD++ fold [5] iter 19: errs = 29854.543, delta_errs = 68.23651, loss = 30385.492, delta_loss = 82.34679, learn_rate = 0.022920182
[DEBUG] 2015-04-07 22:22:24,527 -- SVD++ fold [2] iter 19: errs = 29762.941, delta_errs = 71.00597, loss = 30291.951, delta_loss = 86.12571, learn_rate = 0.022920182
[DEBUG] 2015-04-07 22:22:25,933 -- SVD++ fold [3] iter 19: errs = 29767.172, delta_errs = 70.53798, loss = 30300.725, delta_loss = 85.25789, learn_rate = 0.022920182
[DEBUG] 2015-04-07 22:22:30,575 -- SVD++ fold [1] iter 19: errs = 29791.236, delta_errs = 72.83344, loss = 30333.686, delta_loss = 85.83514, learn_rate = 0.022920182
[DEBUG] 2015-04-07 22:22:33,535 -- SVD++ fold [4] iter 19: errs = 29811.44, delta_errs = 71.00405, loss = 30344.125, delta_loss = 85.70702, learn_rate = 0.022920182
[DEBUG] 2015-04-07 22:22:38,923 -- SVD++ fold [5] iter 20: errs = 29792.37, delta_errs = 62.17483, loss = 30312.46, delta_loss = 73.030655, learn_rate = 0.024066191
[DEBUG] 2015-04-07 22:22:43,712 -- SVD++ fold [2] iter 20: errs = 29698.363, delta_errs = 64.5776, loss = 30215.367, delta_loss = 76.58338, learn_rate = 0.024066191
[DEBUG] 2015-04-07 22:22:45,637 -- SVD++ fold [3] iter 20: errs = 29703.367, delta_errs = 63.804985, loss = 30225.172, delta_loss = 75.5537, learn_rate = 0.024066191
[DEBUG] 2015-04-07 22:22:49,672 -- SVD++ fold [1] iter 20: errs = 29724.416, delta_errs = 66.820274, loss = 30257.262, delta_loss = 76.42383, learn_rate = 0.024066191
[DEBUG] 2015-04-07 22:22:54,544 -- SVD++ fold [4] iter 20: errs = 29746.727, delta_errs = 64.71311, loss = 30267.883, delta_loss = 76.24277, learn_rate = 0.024066191
[DEBUG] 2015-04-07 22:23:00,172 -- SVD++ fold [5] iter 21: errs = 29735.334, delta_errs = 57.03539, loss = 30247.879, delta_loss = 64.58284, learn_rate = 0.0252695
[DEBUG] 2015-04-07 22:23:05,399 -- SVD++ fold [2] iter 21: errs = 29639.338, delta_errs = 59.02444, loss = 30147.467, delta_loss = 67.901665, learn_rate = 0.0252695
[DEBUG] 2015-04-07 22:23:08,276 -- SVD++ fold [3] iter 21: errs = 29645.51, delta_errs = 57.855965, loss = 30158.482, delta_loss = 66.68913, learn_rate = 0.0252695
[DEBUG] 2015-04-07 22:23:10,890 -- SVD++ fold [1] iter 21: errs = 29662.742, delta_errs = 61.673393, loss = 30189.383, delta_loss = 67.87982, learn_rate = 0.0252695
[DEBUG] 2015-04-07 22:23:14,334 -- SVD++ fold [4] iter 21: errs = 29687.416, delta_errs = 59.31134, loss = 30200.25, delta_loss = 67.63339, learn_rate = 0.0252695
[DEBUG] 2015-04-07 22:23:21,382 -- SVD++ fold [5] iter 22: errs = 29682.545, delta_errs = 52.789032, loss = 30190.994, delta_loss = 56.883343, learn_rate = 0.026532976
[DEBUG] 2015-04-07 22:23:25,713 -- SVD++ fold [2] iter 22: errs = 29585.023, delta_errs = 54.315296, loss = 30087.508, delta_loss = 59.95882, learn_rate = 0.026532976
[DEBUG] 2015-04-07 22:23:29,103 -- SVD++ fold [3] iter 22: errs = 29592.893, delta_errs = 52.617535, loss = 30099.957, delta_loss = 58.52546, learn_rate = 0.026532976
[DEBUG] 2015-04-07 22:23:31,190 -- SVD++ fold [1] iter 22: errs = 29605.453, delta_errs = 57.290066, loss = 30129.324, delta_loss = 60.059067, learn_rate = 0.026532976
[DEBUG] 2015-04-07 22:23:35,000 -- SVD++ fold [4] iter 22: errs = 29632.635, delta_errs = 54.77994, loss = 30140.492, delta_loss = 59.757977, learn_rate = 0.026532976
[DEBUG] 2015-04-07 22:23:42,699 -- SVD++ fold [5] iter 23: errs = 29633.133, delta_errs = 49.41084, loss = 30141.16, delta_loss = 49.833984, learn_rate = 0.027859624
[DEBUG] 2015-04-07 22:23:44,655 -- SVD++ fold [2] iter 23: errs = 29534.598, delta_errs = 50.42496, loss = 30034.852, delta_loss = 52.656498, learn_rate = 0.027859624
[DEBUG] 2015-04-07 22:23:48,998 -- SVD++ fold [1] iter 23: errs = 29551.904, delta_errs = 53.548344, loss = 30076.492, delta_loss = 52.8309, learn_rate = 0.027859624
[DEBUG] 2015-04-07 22:23:49,779 -- SVD++ fold [3] iter 23: errs = 29544.871, delta_errs = 48.021324, loss = 30049.01, delta_loss = 50.947098, learn_rate = 0.027859624
[DEBUG] 2015-04-07 22:23:51,991 -- SVD++ fold [4] iter 23: errs = 29581.52, delta_errs = 51.116123, loss = 30087.97, delta_loss = 52.522026, learn_rate = 0.027859624
[DEBUG] 2015-04-07 22:23:59,846 -- SVD++ fold [5] iter 24: errs = 29586.28, delta_errs = 46.854694, loss = 30097.814, delta_loss = 43.34571, learn_rate = 0.029252607
[DEBUG] 2015-04-07 22:24:03,171 -- SVD++ fold [2] iter 24: errs = 29487.287, delta_errs = 47.310585, loss = 29988.943, delta_loss = 45.90695, learn_rate = 0.029252607
[DEBUG] 2015-04-07 22:24:07,794 -- SVD++ fold [1] iter 24: errs = 29501.605, delta_errs = 50.298077, loss = 30030.424, delta_loss = 46.068733, learn_rate = 0.029252607
[DEBUG] 2015-04-07 22:24:09,270 -- SVD++ fold [3] iter 24: errs = 29500.88, delta_errs = 43.98993, loss = 30005.158, delta_loss = 43.852074, learn_rate = 0.029252607
[DEBUG] 2015-04-07 22:24:12,906 -- SVD++ fold [4] iter 24: errs = 29533.207, delta_errs = 48.311653, loss = 30042.123, delta_loss = 45.84578, learn_rate = 0.029252607
[DEBUG] 2015-04-07 22:24:18,786 -- SVD++ fold [5] iter 25: errs = 29541.258, delta_errs = 45.020405, loss = 30060.49, delta_loss = 37.324406, learn_rate = 0.030715236
[DEBUG] 2015-04-07 22:24:21,681 -- SVD++ fold [2] iter 25: errs = 29442.402, delta_errs = 44.884403, loss = 29949.324, delta_loss = 39.619778, learn_rate = 0.030715236
[DEBUG] 2015-04-07 22:24:26,228 -- SVD++ fold [1] iter 25: errs = 29454.24, delta_errs = 47.365494, loss = 29990.777, delta_loss = 39.646435, learn_rate = 0.030715236
[DEBUG] 2015-04-07 22:24:29,221 -- SVD++ fold [3] iter 25: errs = 29460.459, delta_errs = 40.42322, loss = 29968.014, delta_loss = 37.143677, learn_rate = 0.030715236
[DEBUG] 2015-04-07 22:24:32,465 -- SVD++ fold [4] iter 25: errs = 29486.887, delta_errs = 46.322044, loss = 30002.473, delta_loss = 39.650814, learn_rate = 0.030715236
[DEBUG] 2015-04-07 22:24:35,675 -- SVD++ fold [5] iter 26: errs = 29497.54, delta_errs = 43.71839, loss = 30028.834, delta_loss = 31.656033, learn_rate = 0.032251
[DEBUG] 2015-04-07 22:24:40,190 -- SVD++ fold [2] iter 26: errs = 29399.414, delta_errs = 42.989487, loss = 29915.635, delta_loss = 33.689842, learn_rate = 0.032251
[DEBUG] 2015-04-07 22:24:43,234 -- SVD++ fold [1] iter 26: errs = 29409.668, delta_errs = 44.57192, loss = 29957.336, delta_loss = 33.4413, learn_rate = 0.032251
[DEBUG] 2015-04-07 22:24:48,247 -- SVD++ fold [3] iter 26: errs = 29423.27, delta_errs = 37.188053, loss = 29937.291, delta_loss = 30.723665, learn_rate = 0.032251
[DEBUG] 2015-04-07 22:24:50,227 -- SVD++ fold [4] iter 26: errs = 29441.86, delta_errs = 45.027313, loss = 29968.629, delta_loss = 33.84461, learn_rate = 0.032251
[DEBUG] 2015-04-07 22:24:53,363 -- SVD++ fold [5] iter 27: errs = 29454.895, delta_errs = 42.645817, loss = 30002.64, delta_loss = 26.19485, learn_rate = 0.03386355
